fpr,tpr
0.0,0.0
0.0004257130693912303,0.03633511959221017
0.0008514261387824606,0.036596523330283626
0.0008514261387824606,0.036988628937393804
0.001277139208173691,0.03973336818716507
0.001277139208173691,0.03999477192523853
0.0034057045551298426,0.043000914913083256
0.0034057045551298426,0.04378512612730362
0.005534269902085994,0.047967585936478895
0.005959982971477224,0.04953600836491962
0.006811409110259685,0.05228074761469089
0.009365687526607066,0.058031629852306886
0.009791400595998296,0.05894654293556398
0.0140485312899106,0.0657430401254738
0.01489995742869306,0.06835707750620834
0.018731375053214133,0.07240883544634688
0.018731375053214133,0.07280094105345707
0.02639421030225628,0.08286498496928506
0.036611323967645805,0.0946281531825905
0.04129416773094934,0.10299307280094105
0.05023414218816517,0.10952816625277742
0.05491698595146871,0.1147562410142465
0.06257982120051085,0.12586589988236832
0.07705406555981269,0.14037380734544505
0.08216262239250745,0.14808521761861196
0.1166453810131971,0.18272121291334467
0.13793103448275862,0.20154228205463337
0.14985100042571306,0.21774931381518756
0.20476798637718177,0.27774147170304536
0.2332907620263942,0.30610377728401517
0.24776500638569604,0.32335642399686315
0.29587058322690507,0.36714155012416677
0.3286504895700298,0.39877140243105474
0.3665389527458493,0.4395503855705137
0.4116645381013197,0.47980656123382565
0.4606215410813112,0.5273820415631943
0.47679863771817793,0.5443732845379688
0.5312899106002554,0.591295255522154
0.5913154533844189,0.6414847732322572
0.6121753937845892,0.6677558489086394
0.6581524052788421,0.7121944843811266
0.7471264367816092,0.7870866553391713
0.7718177948063005,0.8184551039079859
0.8280119199659429,0.8665533917135015
0.9191145168156662,0.9427525813619134
0.9195402298850575,0.9437981963142072
0.9250744997871435,0.9479806561233826
0.9255002128565347,0.9479806561233826
0.9995742869306088,0.9997385962619265
1.0,0.9998692981309633
1.0,1.0
