fpr,tpr
0.0,0.0
0.0,0.0017301038062283738
0.05370409679473572,0.11245674740484429
0.054022500530672896,0.11245674740484429
0.05837401825514753,0.11937716262975778
0.13723201018891956,0.21280276816608998
0.21428571428571427,0.3096885813148789
0.2652303120356612,0.3875432525951557
0.3092761621736362,0.444636678200692
0.35533856930587987,0.5224913494809689
0.40469114837614095,0.583044982698962
0.4454468265760985,0.6349480968858131
0.504988325196349,0.6816608996539792
0.5525366164296328,0.7491349480968859
0.5976438123540649,0.7889273356401384
0.638187221396731,0.8217993079584776
0.6640840585862874,0.8321799307958477
0.6654638081086818,0.8321799307958477
0.6963489704945871,0.8442906574394463
0.731585650604967,0.8685121107266436
0.7340267459138187,0.8685121107266436
0.7657609849288899,0.903114186851211
0.7687327531309701,0.903114186851211
0.7860326894502229,0.9117647058823529
0.8147951602632137,0.9342560553633218
0.8157503714710252,0.9342560553633218
0.8325196348970495,0.9480968858131488
0.844194438548079,0.9550173010380623
0.8517299936319253,0.9550173010380623
0.8715771598386755,0.967128027681661
0.886648270006368,0.972318339100346
0.8942899596688602,0.9775086505190311
0.9050095521120781,0.9809688581314879
0.9209297389089365,0.9844290657439446
0.930694120144343,0.9896193771626297
0.9358947144979834,0.9930795847750865
0.943324135003184,0.9948096885813149
0.9499044788792188,0.9948096885813149
0.9522394396094247,0.9948096885813149
0.9574400339630652,0.9965397923875432
0.9575461685417109,0.9965397923875432
1.0,1.0
